time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,rollout/collision_rate,rollout/success_rate,rollout/ep_rew_mean,train/learning_rate,train/value_loss,train/clip_range,train/entropy_loss,train/explained_variance,train/loss,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/n_updates,eval/success_rate,eval/mean_reward,eval/mean_ep_length
140,204800,50,1455,80.74,0.32,0.52,7.2438836097717285,0.0003,1.9257494635879993,0.2,-1.0134101897478103,0.4706493020057678,0.3042392134666443,-0.01929380896035582,0.063215494,0.32431640625,490,,,
142,208896,51,1463,79.59,0.3,0.59,8.365452766418457,0.0003,1.8534938661381601,0.2,-1.034970448166132,0.5201658606529236,0.3360500931739807,-0.0195463843352627,0.06576692,0.337109375,500,,,
145,212992,52,1467,81.73,0.22,0.67,9.316880226135254,0.0003,1.7721623204648496,0.2,-1.0401551131159068,0.38550931215286255,0.2437131255865097,-0.026150962969404647,0.071657434,0.374560546875,510,,,
147,217088,53,1473,81.14,0.21,0.66,9.213033676147461,0.0003,1.3884925918653608,0.2,-1.0111695609986782,0.47891587018966675,0.3019486665725708,-0.02491011050879024,0.07006753,0.3603515625,520,,,
149,221184,54,1479,78.13,0.24,0.65,9.007596015930176,0.0003,1.6027256792411209,0.2,-1.0514863736927509,0.5633577108383179,0.28779712319374084,-0.02614999910001643,0.06098911,0.3384765625,530,,,
,225000,,,,,,,0.0003,1.786102730035782,0.2,-0.9845191329717636,0.464724600315094,0.31268760561943054,-0.02383639286563266,0.062627554,0.349755859375,540,0.2,2.313371181488037,136.95
155,225280,55,1447,66.34,0.23,0.72,10.103887557983398,,,,,,,,,,,,,
157,229376,56,1454,72.98,0.22,0.69,9.842347145080566,0.0003,2.3727685399353504,0.2,-0.9874378383159638,0.2830929160118103,0.44767260551452637,-0.02374803203274496,0.060346182,0.3331787109375,550,,,
159,233472,57,1461,80.09,0.15,0.69,9.387124061584473,0.0003,1.2168300654739141,0.2,-1.03379090949893,0.5276837944984436,0.24426469206809998,-0.025194654185906985,0.06417985,0.3527099609375,560,,,
161,237568,58,1467,58.56,0.3,0.64,8.523000717163086,0.0003,1.241902538202703,0.2,-0.9803078025579453,0.634358286857605,0.15928897261619568,-0.02470610572490841,0.06755476,0.35322265625,570,,,
163,241664,59,1474,71.47,0.34,0.57,7.593582630157471,0.0003,2.2481474447995424,0.2,-0.9902771428227425,0.4656074047088623,0.40884169936180115,-0.01919169774046168,0.06775999,0.355908203125,580,,,
165,245760,60,1480,69.13,0.29,0.64,8.801194190979004,0.0003,1.610052689164877,0.2,-0.9627852503210306,0.4964473247528076,0.2532414197921753,-0.024869380344171077,0.0648022,0.3659912109375,590,,,
168,249856,61,1486,68.45,0.32,0.63,8.519745826721191,0.0003,1.6867485791444778,0.2,-0.9438591092824936,0.5225082635879517,0.17144590616226196,-0.02644965497602243,0.062250674,0.348681640625,600,,,
,250000,,,,,,,0.0003,2.1002922534942625,0.2,-0.9481457609683275,0.5429434180259705,0.5677676200866699,-0.016879855425213464,0.07069759,0.352490234375,610,0.05,0.12763133645057678,171.9
174,253952,62,1453,70.64,0.27,0.66,9.024799346923828,,,,,,,,,,,,,
176,258048,63,1458,66.31,0.31,0.62,8.4442777633667,0.0003,1.8157073978334666,0.2,-0.9468746148049831,0.5488020181655884,0.3156128525733948,-0.020803699974203484,0.06746633,0.3505126953125,620,,,
178,262144,64,1464,75.27,0.29,0.61,8.480595588684082,0.0003,2.4467074297368527,0.2,-0.9764583744108677,0.40162336826324463,0.6766241788864136,-0.020295812009135262,0.06473527,0.3505859375,630,,,
181,266240,65,1469,84.27,0.28,0.59,8.348047256469727,0.0003,1.434096068702638,0.2,-1.0425554502755403,0.34435325860977173,0.2487689107656479,-0.02710924231214449,0.08166036,0.3889892578125,640,,,
183,270336,66,1476,85.42,0.33,0.54,7.457578659057617,0.0003,2.139024970680475,0.2,-1.0266636475920676,0.3111953139305115,0.43300867080688477,-0.025087876510224306,0.07042744,0.3729248046875,650,,,
185,274432,67,1482,89.12,0.3,0.54,7.345182418823242,0.0003,1.4003827361389996,0.2,-1.0218999247998,0.4700281620025635,0.26353979110717773,-0.030631478878785857,0.07363491,0.35810546875,660,,,
,275000,,,,,,,0.0003,1.5357329990714788,0.2,-1.0195340186357498,0.4647355079650879,0.33584022521972656,-0.027437577648379376,0.06844629,0.3428955078125,670,0.3,3.7360999584198,149.65
191,278528,68,1456,93.55,0.27,0.56,7.717585563659668,,,,,,,,,,,,,
193,282624,69,1462,89.01,0.24,0.65,9.01809024810791,0.0003,1.4132307294756175,0.2,-1.0426305655390025,0.47548383474349976,0.21998709440231323,-0.027526046158163807,0.06656449,0.3683837890625,680,,,
195,286720,70,1467,79.64,0.29,0.6,8.120548248291016,0.0003,2.0262928780168297,0.2,-1.0184042759239673,0.5411137342453003,0.5193946957588196,-0.026855913997860626,0.07077134,0.3625732421875,690,,,
197,290816,71,1473,82.79,0.28,0.59,7.902317523956299,0.0003,1.550695975497365,0.2,-0.9970963276922703,0.5147095918655396,0.1872355192899704,-0.030149037868250163,0.07736726,0.3584716796875,700,,,
199,294912,72,1478,77.53,0.19,0.7,9.527756690979004,0.0003,1.4921852115541696,0.2,-0.9633037094026804,0.5928307771682739,0.17857061326503754,-0.024667820791364647,0.08365756,0.3694091796875,710,,,
